DATE,INCOME,EXPENSES
2020-12-01,16140.40325,15528.86006
2020-11-01,15000,14163.56
2020-10-01,16140.40325,15528.86006
2020-09-01,15000,14163.56
2020-08-01,16140.40325,15528.86006
2020-07-01,13218.79,14163.56
2020-06-01,8068.83,9118.18
2020-05-01,10760.91,14055.37
2020-04-01,24528.98,20655.26
2020-03-01,44410.36,47189.11
2020-02-01,8157.21,12313.21
2020-01-01,11570.92,6116.31
2019-12-01,9217.77,10684.87
2019-11-01,15395.47,10661.89
2019-10-01,9290.04,12056.43
2019-09-01,11849.86,16299.38
2019-08-01,11394.65,13195.82
2019-07-01,7783.18,20343.36
2019-06-01,59160.3,57777.95
2019-05-01,7072.1,71338.28
2019-04-01,36185.65,13312.64
2019-03-01,33860.19,35827.81
2019-02-01,8229.01,7336.88
2019-01-01,14402.89,14742.43
2018-12-01,7558.02,10525.51
2018-11-01,7125.5,10888.14
2018-10-01,6801.5,9270.82
2018-09-01,7771.21,9874.29
2018-08-01,7667.51,2936.77
