Month of DATE,CAT_NEW,Clusters,CAT_NEW_INCM_PCENT
2019-01-01,Need,Cluster 3,31.70287352
2019-03-01,Need,Cluster 3,24.96899752
2019-04-01,Need,Cluster 3,18.71708813
2019-06-01,Need,Cluster 3,10.78334626
2020-01-01,Need,Cluster 3,13.32167192
2018-09-01,Need,Cluster 2,77.25836775
2018-11-01,Need,Cluster 2,76.78759385
2019-02-01,Need,Cluster 2,69.60800874
2019-08-01,Need,Cluster 2,64.60558244
2019-09-01,Need,Cluster 2,66.07951486
2019-10-01,Need,Cluster 2,61.26722813
2019-11-01,Need,Cluster 2,61.79454086
2019-12-01,Need,Cluster 2,71.27287836
2020-02-01,Need,Cluster 2,70.26789797
2020-04-01,Need,Cluster 2,72.81114013
2020-05-01,Need,Cluster 2,70.39293145
2020-07-01,Need,Cluster 2,70.84385182
2018-10-01,Need,Cluster 1,85.14739396
2018-12-01,Need,Cluster 1,90.7496937
2019-05-01,Need,Cluster 1,84.80663452
2019-07-01,Need,Cluster 1,104.7402219
2020-03-01,Need,Cluster 1,100.8355933
2020-06-01,Need,Cluster 1,88.60925314
