DATE,CLUSTER,VALUE
2019-01-01,Cluster 3,31.70
2019-03-01,Cluster 3,24.97
2019-04-01,Cluster 3,18.72
2019-06-01,Cluster 3,10.78
2020-01-01,Cluster 3,13.32
2018-09-01,Cluster 2,77.26
2018-11-01,Cluster 2,76.79
2019-02-01,Cluster 2,69.61
2019-08-01,Cluster 2,64.61
2019-09-01,Cluster 2,66.08
2019-10-01,Cluster 2,61.27
2019-11-01,Cluster 2,61.79
2019-12-01,Cluster 2,71.27
2020-02-01,Cluster 2,70.27
2020-04-01,Cluster 2,72.81
2020-05-01,Cluster 2,70.39
2020-07-01,Cluster 2,70.84
2018-10-01,Cluster 1,85.15
2018-12-01,Cluster 1,90.75
2019-05-01,Cluster 1,84.81
2019-07-01,Cluster 1,104.74
2020-03-01,Cluster 1,100.84
2020-06-01,Cluster 1,88.61
