DATE,Forecastindicator,TYPE,VALUE
2020-09-01,Estimate,INCOME,16140.40325
2020-09-01,Estimate,EXPENSES,15528.86006
2020-08-01,Estimate,INCOME,16140.40325
2020-08-01,Estimate,EXPENSES,15528.86006
2020-07-01,Estimate,INCOME,16140.40325
2020-07-01,Estimate,EXPENSES,15528.86006
2020-06-01,Actual,INCOME,8068.83
2020-06-01,Actual,INCOME,8068.83
2020-06-01,Actual,EXPENSES,9118.18
2020-06-01,Actual,EXPENSES,9118.18
2020-05-01,Actual,INCOME,10760.91
2020-05-01,Actual,INCOME,10760.91
2020-05-01,Actual,EXPENSES,14055.37
2020-05-01,Actual,EXPENSES,14055.37
2020-04-01,Actual,INCOME,24528.98
2020-04-01,Actual,INCOME,24528.98
2020-04-01,Actual,EXPENSES,20655.26
2020-04-01,Actual,EXPENSES,20655.26
2020-03-01,Actual,INCOME,44410.36
2020-03-01,Actual,INCOME,44410.36
2020-03-01,Actual,EXPENSES,47189.11
2020-03-01,Actual,EXPENSES,47189.11
2020-02-01,Actual,INCOME,8157.21
2020-02-01,Actual,INCOME,8157.21
2020-02-01,Actual,EXPENSES,12313.21
2020-02-01,Actual,EXPENSES,12313.21
2020-01-01,Actual,INCOME,11570.92
2020-01-01,Actual,INCOME,11570.92
2020-01-01,Actual,EXPENSES,6116.31
2020-01-01,Actual,EXPENSES,6116.31
2019-12-01,Actual,INCOME,9217.77
2019-12-01,Actual,INCOME,9217.77
2019-12-01,Actual,EXPENSES,10684.87
2019-12-01,Actual,EXPENSES,10684.87
2019-11-01,Actual,INCOME,15395.47
2019-11-01,Actual,INCOME,15395.47
2019-11-01,Actual,EXPENSES,10661.89
2019-11-01,Actual,EXPENSES,10661.89
2019-10-01,Actual,INCOME,9290.04
2019-10-01,Actual,INCOME,9290.04
2019-10-01,Actual,EXPENSES,12056.43
2019-10-01,Actual,EXPENSES,12056.43
2019-09-01,Actual,INCOME,11849.86
2019-09-01,Actual,INCOME,11849.86
2019-09-01,Actual,EXPENSES,16299.38
2019-09-01,Actual,EXPENSES,16299.38
2019-08-01,Actual,INCOME,11394.65
2019-08-01,Actual,INCOME,11394.65
2019-08-01,Actual,EXPENSES,13195.82
2019-08-01,Actual,EXPENSES,13195.82
2019-07-01,Actual,INCOME,7783.18
2019-07-01,Actual,INCOME,7783.18
2019-07-01,Actual,EXPENSES,20343.36
2019-07-01,Actual,EXPENSES,20343.36
2019-06-01,Actual,INCOME,59160.3
2019-06-01,Actual,INCOME,59160.3
2019-06-01,Actual,EXPENSES,57777.95
2019-06-01,Actual,EXPENSES,57777.95
2019-05-01,Actual,INCOME,7072.1
2019-05-01,Actual,INCOME,7072.1
2019-05-01,Actual,EXPENSES,71338.28
2019-05-01,Actual,EXPENSES,71338.28
2019-04-01,Actual,INCOME,36185.65
2019-04-01,Actual,INCOME,36185.65
2019-04-01,Actual,EXPENSES,13312.64
2019-04-01,Actual,EXPENSES,13312.64
2019-03-01,Actual,INCOME,33860.19
2019-03-01,Actual,INCOME,33860.19
2019-03-01,Actual,EXPENSES,35827.81
2019-03-01,Actual,EXPENSES,35827.81
2019-02-01,Actual,INCOME,8229.01
2019-02-01,Actual,INCOME,8229.01
2019-02-01,Actual,EXPENSES,7336.88
2019-02-01,Actual,EXPENSES,7336.88
2019-01-01,Actual,INCOME,14402.89
2019-01-01,Actual,INCOME,14402.89
2019-01-01,Actual,EXPENSES,14742.43
2019-01-01,Actual,EXPENSES,14742.43
2018-12-01,Actual,INCOME,7558.02
2018-12-01,Actual,INCOME,7558.02
2018-12-01,Actual,EXPENSES,10525.51
2018-12-01,Actual,EXPENSES,10525.51
2018-11-01,Actual,INCOME,7125.5
2018-11-01,Actual,INCOME,7125.5
2018-11-01,Actual,EXPENSES,10888.14
2018-11-01,Actual,EXPENSES,10888.14
2018-10-01,Actual,INCOME,6801.5
2018-10-01,Actual,INCOME,6801.5
2018-10-01,Actual,EXPENSES,9270.82
2018-10-01,Actual,EXPENSES,9270.82
2018-09-01,Actual,INCOME,7771.21
2018-09-01,Actual,INCOME,7771.21
2018-09-01,Actual,EXPENSES,9874.29
2018-09-01,Actual,EXPENSES,9874.29
2018-08-01,Actual,INCOME,7667.51
2018-08-01,Actual,INCOME,7667.51
2018-08-01,Actual,EXPENSES,2936.77
2018-08-01,Actual,EXPENSES,2936.77
